Mean	Weight	in	Catch	(kilograms)								
1	3											
1946	2021											
3	15											
1												
0.350	0.590	1.110	1.690	2.370	3.170	3.980	5.050	5.920	7.200	8.150	8.130	9.250
0.320	0.560	0.950	1.500	2.140	2.920	3.650	4.560	5.840	7.420	8.850	8.790	10.000
0.340	0.530	1.260	1.930	2.460	3.360	4.220	5.310	5.920	7.090	8.430	8.180	9.430
0.370	0.670	1.110	1.660	2.500	3.230	4.070	5.270	5.990	7.080	8.220	8.260	8.700
0.390	0.640	1.290	1.700	2.360	3.480	4.520	5.620	6.400	7.960	8.890	9.070	10.270
0.400	0.830	1.390	1.880	2.540	3.460	4.880	5.200	7.140	8.220	9.390	9.500	9.520
0.440	0.800	1.330	1.920	2.640	3.710	5.060	6.050	7.420	8.430	10.190	10.130	10.560
0.400	0.760	1.280	1.930	2.810	3.720	5.060	6.340	7.400	8.670	10.240	11.410	11.930
0.440	0.770	1.260	1.970	3.030	4.330	5.400	6.750	7.790	10.670	9.680	9.560	11.110
0.320	0.570	1.130	1.730	2.750	3.940	4.900	7.040	7.200	8.780	10.080	11.020	12.110
0.330	0.580	1.070	1.830	2.890	4.250	5.550	7.280	8.000	8.350	9.940	10.250	11.560
0.330	0.590	1.020	1.820	2.890	4.280	5.490	7.510	8.240	9.250	10.610	10.820	12.070
0.340	0.520	0.950	1.920	2.940	4.210	5.610	7.350	8.670	9.580	11.630	11.000	13.830
0.350	0.720	1.470	2.680	3.590	4.320	5.450	6.440	7.170	8.630	11.620	11.950	13.000
0.340	0.510	1.090	2.130	3.380	4.870	6.120	8.490	7.790	8.300	11.420	11.720	13.420
0.310	0.550	1.050	2.200	3.230	5.110	6.150	8.150	8.680	9.600	11.950	13.180	13.420
0.320	0.550	0.930	1.700	3.030	5.030	6.550	7.700	9.270	10.560	12.720	13.480	14.440
0.320	0.610	0.960	1.730	3.040	4.960	6.440	7.910	9.620	11.310	12.740	13.190	14.290
0.330	0.550	0.950	1.860	3.250	4.970	6.410	8.070	9.340	10.160	12.890	13.250	14.000
0.380	0.680	1.030	1.490	2.410	3.520	5.730	7.540	8.470	11.170	13.720	13.460	14.120
0.440	0.740	1.180	1.780	2.460	3.820	5.360	7.270	8.630	10.660	14.150	14.000	15.000
0.290	0.810	1.350	2.040	2.810	3.480	4.890	7.110	9.030	10.590	13.830	14.150	16.760
0.330	0.700	1.480	2.120	3.140	4.210	5.270	6.650	9.010	9.660	14.850	16.300	17.000
0.440	0.790	1.230	2.030	2.900	3.810	5.020	6.430	8.330	10.710	14.210	15.000	17.000
0.370	0.910	1.340	2.000	3.000	4.150	5.590	7.600	8.970	10.990	14.070	14.610	16.000
0.450	0.880	1.380	2.160	3.070	4.220	5.810	7.130	8.620	10.830	12.950	14.250	15.970
0.380	0.770	1.430	2.120	3.230	4.380	5.830	7.620	9.520	12.090	13.670	13.850	16.000
0.380	0.910	1.540	2.260	3.290	4.610	6.570	8.370	10.540	11.620	13.900	14.000	15.840
0.320	0.660	1.170	2.220	3.210	4.390	5.520	7.860	9.820	11.410	13.240	13.700	14.290
0.410	0.640	1.110	1.900	2.950	4.370	5.740	8.770	9.920	11.810	13.110	14.000	14.290
0.350	0.730	1.190	2.010	2.760	4.220	5.880	9.300	10.280	11.860	13.540	14.310	14.280
0.490	0.900	1.430	2.050	3.300	4.560	6.460	8.630	9.930	10.900	13.670	14.260	14.910
0.490	0.810	1.450	2.150	3.040	4.460	6.540	7.980	10.150	10.850	13.180	14.000	15.000
0.350	0.700	1.240	2.140	3.150	4.290	6.580	8.610	9.220	10.890	14.340	14.500	15.310
0.270	0.560	1.020	1.720	3.020	4.200	5.840	7.260	8.840	9.280	14.450	15.000	15.500
0.490	0.980	1.440	2.090	2.980	4.850	6.570	9.160	10.820	10.770	13.930	15.000	16.000
0.370	0.660	1.350	1.990	2.930	4.240	6.460	8.510	12.240	10.780	14.040	15.000	16.000
0.840	1.370	2.090	2.860	3.990	5.580	7.770	9.290	11.550	11.420	12.800	14.180	15.550
1.420	1.930	2.490	3.140	3.910	4.910	6.020	7.400	8.130	11.420	12.800	14.180	15.550
0.940	1.370	2.020	3.220	4.630	6.040	7.660	9.810	11.800	11.420	12.800	14.180	15.550
0.640	1.270	1.880	2.790	4.490	5.840	6.830	7.690	9.810	11.420	12.800	14.180	15.550
0.490	0.880	1.550	2.330	3.440	5.920	8.600	9.600	12.170	11.420	12.800	14.180	15.550
0.540	0.850	1.320	2.240	3.520	5.350	8.060	9.510	11.360	11.420	12.800	14.180	15.550
0.740	0.960	1.310	1.920	2.930	4.640	7.520	9.120	11.080	11.420	12.800	14.180	15.550
0.810	1.220	1.640	2.220	3.240	4.680	7.300	9.840	13.250	11.420	12.800	14.180	15.550
1.050	1.450	2.150	2.890	3.750	4.710	6.080	8.820	11.800	11.420	12.800	14.180	15.550
1.160	1.570	2.210	3.100	4.270	5.190	6.140	7.770	10.120	11.420	12.800	14.180	15.550
0.810	1.520	2.160	2.790	4.070	5.530	6.470	7.190	7.980	11.457	12.800	14.180	15.550
0.820	1.300	2.060	2.890	3.210	5.200	6.800	7.570	8.010	9.955	13.012	14.180	15.550
0.770	1.200	1.780	2.590	3.810	4.990	6.230	8.050	8.740	9.774	11.388	14.546	15.550
0.790	1.110	1.610	2.460	3.820	5.720	6.740	8.040	9.280	10.451	11.190	12.819	16.045
0.670	1.040	1.530	2.220	3.420	5.200	7.190	7.730	8.610	11.145	11.926	12.608	14.234
0.680	1.050	1.620	2.300	3.300	4.860	6.870	9.300	10.300	10.754	12.676	13.394	14.011
0.630	1.010	1.540	2.340	3.210	4.290	6.000	6.730	10.080	11.151	12.255	14.191	14.839
0.570	1.040	1.610	2.340	3.340	4.480	5.720	7.520	8.020	11.930	12.682	13.743	15.675
0.660	1.050	1.620	2.510	3.510	4.780	6.040	7.540	9.000	10.230	13.519	14.197	15.206
0.720	1.130	1.560	2.310	3.520	4.780	6.200	7.660	9.140	10.379	11.687	15.081	15.681
0.670	1.120	1.830	2.500	3.580	5.040	6.360	8.200	10.710	10.167	11.848	13.138	16.602
0.720	1.130	1.610	2.430	3.270	4.720	6.710	7.980	9.190	10.840	11.619	13.310	14.571
0.690	1.080	1.570	2.210	3.260	4.440	6.230	8.190	9.720	10.626	12.347	13.066	14.752
0.720	1.160	1.600	2.390	3.320	4.540	5.470	6.780	7.700	10.800	12.116	13.842	14.494
0.740	1.210	1.830	2.510	3.820	5.040	6.580	8.080	8.940	10.349	12.304	13.596	15.309
0.770	1.270	1.870	2.820	3.790	5.120	6.220	7.750	8.400	10.139	11.816	13.795	15.052
0.750	1.170	1.740	2.420	3.860	5.350	6.430	8.010	8.670	10.055	11.588	13.276	15.261
0.780	1.200	1.740	2.440	3.400	5.040	6.250	7.320	8.530	10.378	11.496	13.033	14.715
0.780	1.310	1.720	2.370	3.200	4.620	6.180	7.470	8.570	10.387	11.847	12.935	14.459
0.670	1.140	1.730	2.340	3.120	4.400	6.280	8.240	10.350	10.367	11.857	13.309	14.356
0.710	1.170	1.670	2.360	3.190	4.220	5.580	7.310	9.080	11.029	11.835	13.320	14.750
0.790	1.200	1.730	2.340	3.280	4.210	5.490	6.980	8.670	10.823	12.551	13.297	14.761
0.780	1.090	1.550	2.180	3.140	4.460	5.610	6.620	7.340	10.215	12.328	14.058	14.737
0.780	1.140	1.660	2.260	3.250	4.500	5.980	7.310	8.540	9.372	11.670	13.822	15.536
0.710	1.150	1.660	2.320	3.320	4.670	6.130	7.150	8.140	9.597	10.752	13.121	15.288
0.860	1.170	1.710	2.500	3.310	4.610	6.030	7.320	8.060	9.707	10.998	12.137	14.552
0.680	1.150	1.660	2.390	3.330	4.450	6.110	7.290	8.410	9.806	11.117	12.401	13.513
0.709	1.084	1.604	2.195	3.092	4.390	5.731	7.218	8.406	9.989	11.226	12.529	13.793
0.527	0.896	1.487	2.159	2.982	4.364	6.048	7.348	8.796	9.991	11.424	12.645	13.928
